ID,Name,country,city,web,trade union,development organisation,academia,human rights organisation,private sector,Other (please specify),"Is your organisation a migrant/diaspora organisation or led by a migrant or diaspora member? (For this survey, 'diaspora' means either you or at least one of your parents or grandparents are or were migrants)?",What is your organisation's main level of intervention? ,lon,lat
81246119142,11.11.11 Coalition of the Flemish North-South Movement,Belgium,Brussels,www.11.be,,development organisation,,,,Coalition of development organisations,No,Local/National,50.85034,4.35171
47.20.98.109,Action Aides aux Familles Demunies,Mali,Bamako,www. Action Aides aux Familles Demunies,,development organisation,,,,,Yes,Local/National,12.65,-8
200.80.116.234,Action Secours Ambulance (ASA),Haïti,Croix des Bouquets,Action Secours Ambulance (ASA),,development organisation,,,,NGO,No,Local/National,18.5761,-72.2269
108.206.29.48,ADAP-INTERNATIONAL/USA,United States,Houston,www.adap-international.org,,development organisation,,,,,Yes,International,29.760427,-95.369803
68.66.19.180,Adrian Dominican Sisters,USA,"Adrian, MI 49221",www@adriandominicans.org,,,,,,Religious Congregation,Yes,Local/National,41.897547,-84.037166
217127148170,ADYNE,Belgium,Brussels,www.adyne.eu,,,,,,Platform of youth organisations,Yes,International,50.85034,4.35171
77.101.52.185,AFFORD,United Kingdom,London,www.afford-uk.org,,development organisation,,,,,Yes,International,51.507351,-0.127758
109.77.253.153,"Africa Centre, Ireland",Ireland,Dublin,www.africacentre.ie,,development organisation,,,,,Yes,Local/National,53.349805,-6.26031
92.108.47.215,African Diaspora Policy Centre,The Netherlands,The Hague,www.diaspora-centre.org,,,,,,TinkTank,Yes,International,52.070498,4.3007
197.254.48.210,African Migration and Development Policy Centre,Kenya,Nairobi,Www.amadpoc.org,,,,,,Research Consultancy,Yes,Local/National,-1.292066,36.821946
77.172.162.53,African Sky,Netherlands,Utrecht,www.africansk.nl,,,,human rights organisation,,,Yes,International,52.090743,5.123859
87.78.49.77,Agisra e.V./ Information and Counseling Center for Female Migrants and Refugees,Germany,Koeln,Www.agisra.org,,,,human rights organisation,,Migrant women organization,Yes,Local/National,50.937531,6.960279
81246119142,Alianza por la Solidaridad (APS),Belgium,Madrid,http://www.alianzaporlasolidaridad.org/,,development organisation,,,,,No,International,40.416775,-3.70379
113.199.184.36,Alliance Against Trafficking in Women and Children in Nepal (AATWIN),Nepal,Kathmandu,www.aatwin.org.np,,,,,,National level network against human trafficking,No,Local/National,27.7,85.333333
197.156.111.5,Alliance For Brain Gain and Innovative Development (ABIDE),Ethiopia,Addis Abeba,www.abideethiopia.org,,development organisation,,,,,Yes,Local/National,8.980603,38.757761
95.252.41.254,Annulliamo La Distanza onlus,Italy,Florence,www.annulliamoladistanza.org,,development organisation,,,,,No,International,43.771033,11.248001
41.77.223.111,AREC( antenne pour la reconnaissance de l'environnement au Congo,République démocratique du Congo(RDC),Kinshasa,www.infoenvironnement-rdc.net,,development organisation,,human rights organisation,,,Yes,Local/National,-4.331667,15.313889
89.133.133.25,Artemisszio Foundation,Hungary,Budapest,artemisszio.bolg.hu,,,,human rights organisation,,,No,International,47.497912,19.040235
41.138.181.63,Asabe Shehu Yar'Adua Foundation,United States/Nigeria,Abuja,www.asyarf.org,,development organisation,,human rights organisation,,NGO/ Civil Society Organisation (CSO),No,International,9.066667,7.483333
79.58.240.25,ASCS - Agenzia Scalabriniana per la Cooperazione allo Sviluppo,Italy,Milan,www.ascsitalia.it,,development organisation,,,,,No,International,45.465422,9.185924
81.203.59.240,ASOCIACION PORTIMUJER,España,Valencia,http://www.asociacionportimujer.org/,,development organisation,,human rights organisation,,Mujer Migrante,Yes,Regional,39.469908,-0.376288
188.62.196.171,Association pour la promotion des droits humains (APDH),Suisse,Genève,www.apdh.ch,,,,human rights organisation,,,Yes,Local/National,46.198392,6.142296
196.207.237.46,Association Sénégalaise pour la Promotion des Energies Renouvelables,Sénégal,Khombole,,,development organisation,,,,,No,International,14.767387,-16.685136
193239221248,Associazione Comunita Papa Giovanni XXIII,Italy,Rimini,www.apg23.org,,,,human rights organisation,,Catholic inspired NGO,No,International,44.067829,12.569516
87.241.56.66,Associazione Noi per Loro,Italy,Turin,www.noiperloro.org,,,,,,NGO,No,International,45.070312,7.686856
82136235106,AUXFIN International,Netherlands,Bruchem,www.auxfin.com,,,,,private sector,,No,International,51.786754,5.238332
103.230.107.27,Bangladesh NGOs Network for Radio & Communication,Bangladesh,Dhaka,www.bnnrc.net,,development organisation,,,,Community Media,No,Local/National,23.810332,90.412518
103.230.105.21,Bangladesh NGOs Network for Radio & Communication,Bangladesh,Dhaka,www.bnnrc.net,,development organisation,,,,Community Broadcasting,No,Local/National,23.810332,90.412518
201124236112,Baptist Seminary of Mexico,México,Distrito Federal,,,,academia,,,,Yes,Local/National,19.24647,-99.10135
86.86.110.65,BASUG - Diaspora and Development,NETHERLANDS,The Hague,www.basug.nl,,development organisation,,,,,Yes,Regional,52.070498,4.3007
81.30.44.249,BASUG- DIASPORA AND DEVELOPMENT,NETHERLANDS,THE HAGUE,,,development organisation,,,,,Yes,Regional,52.070498,4.3007
189196211247,Benemérita Universidad Autónoma de Puebla,mexico,"Puebla , Puebla México",www.buap.mx,,,academia,,,,Yes,International,19.041297,-98.2062
27147128194,BRAC,Bangladesh,Dhaka,www.brac.net,,development organisation,,,,,Yes,Local/National,23.810332,90.412518
77.166.43.141,Burundian Women for Peace and Development (BWPD),Netherlands,Rotterdam and Kirundo,www.bwpd.nl,,development organisation,,human rights organisation,,,Yes,International,51.92442,4.477733
88.164.83.187,C'Pro G,FRANCE,Goussainville,www.saipro-g.com,,development organisation,,human rights organisation,,,Yes,Local/National,49.030467,2.471236
79.18.234.241,CADI (Comitato Antirazzista Durban Italia),Italy,Rome,,,development organisation,,human rights organisation,,,Yes,International,41.872389,12.48018
201141192106,Cambia la historia,Mexico,Mexico City,www.cambialahistoria.org.mx,,,,human rights organisation,,,No,Local/National,19.432608,-99.133208
41.203.69.6,Campaign2015+ International,Nigeria,Ibadan,www.campaign2015plusnigeria.org,,development organisation,,human rights organisation,,,Yes,International,7.396389,3.916667
99.248.224.17,Canadian Federation of Sisters of St. Joseph,Canada,Toronto,www.csjfederation.ca,,,,,,religious orders,No,Local/National,43.653226,-79.383184
93.62.22.216,Caritas Internationalis,Italy,Vatican City,www.caritas.org,,development organisation,,,,,No,International,41.902387,12.451236
83.140.27.203,Caritas Sweden,Sweden,Stockholm,www.caritas.se,,development organisation,,,,,No,International,59.329323,18.068581
77.53.124.174,Caritas Sweden,Sweden,Stockholm,www.caritas.se,,development organisation,,,,,No,Local/National,59.329323,18.068581
172.56.17.98,CBO COMUNITARIAS INC.,USA,Los Ángeles,www.cbousa.org,,development organisation,,,,,Yes,International,34.052234,-118.243685
89.93.45.35,CEFIR,france,dunkerque,www.cefir.fr,,development organisation,,,,,Yes,International,51.034368,2.376776
81245198227,CEFOREC INTERNATIONAL NETWORK,Belgique,Bruxelles,,,development organisation,,,,,Yes,International,50.85034,4.35171
119.95.202.54,Center for Migrant Advocacy Philippines,Philippines,Quezon City,centerformigrantadvocacy.com,,development organisation,,human rights organisation,,,No,Local/National,14.676041,121.0437
72227191152,Center for Migration Studies of New York,United States,New York,http://cmsny.org/,,,academia,,,,Yes,International,40.712784,-74.005941
41.86.178.144,CENTRE FOR THE STUDY OF FORCED MIGRATION,TANZANIA,DAR ES SALAAM,,,,academia,human rights organisation,,,Yes,International,-6.8,39.283333
41188125191,Centre Guide pour la Migration CGTM,Mauritanie,Nouakchott,www.cgtm.org,trade union,,,,,,Yes,Local/National,18.1,-15.95
217128129110,centre social jacques brel,France,port de bouc,,,,,,,association,Yes,Local/National,43.405449,4.985931
108.182.6.239,Centro de Documentación en Derechos Humanos “Segundo Montes Mozo S.J.” (CSMM),Ecuador,Quito,,,,,human rights organisation,,,No,Local/National,-0.180653,-78.467838
69243124207,"Centro de los Derechos del Migrante, Inc. (CDM)",United States,Mexico City,www.cdmigrante.org,,,,human rights organisation,,,No,Regional,19.432608,-99.133208
41.77.223.110,CFERD,DR Congo,Kinshasa,,,development organisation,,,,,Yes,Local/National,-4.331667,15.313889
41.93.151.113,Childlink Foundation,Ghana,Accra,,,development organisation,,,,,Yes,Local/National,5.55,-0.2
179219103110,CIBAI Mnigrações,Brazil,Porto Alegre - Rio Grando do Sul,www.cibaimigracoes.com.br,,,,human rights organisation,,,Yes,Local/National,-30.034647,-51.217658
186176178185,cidehum,Costa Rica,San Jose,www.cidehum.org,,,,human rights organisation,,,No,Regional,9.928069,-84.090725
50.40.252.204,Club Migrante Cheran Southern Illinois/St. Louis,US,"Murphysboro, Illinois",,,,,human rights organisation,,,Yes,International,37.764495,-89.335089
178194181237,CO-HABITER,Switzerland,Lausanne,www.co-habiter.ch,,development organisation,,human rights organisation,,,Yes,International,46.519962,6.633597
187232222100,"Colectivo de Apoyo para personas Migrantes, COAMI",Mexico,Mexico city,https://www.facebook.com/ColectivoCoami?fref=ts,,,,human rights organisation,,,Yes,Regional,19.432608,-99.133208
124.43.252.185,Community Development Services (CDS),Sri Lanka,Colombo,Non Governmental Organisation,,,,human rights organisation,,,No,Local/National,6.927079,79.861243
84241199158,Computers FOR Development,Netherlands,Wassenaar,www.computersfordevelopment.org,,development organisation,,,,,Yes,International,52.14291,4.401213
67.243.30.197,Congregation of Our Lady of Charity of the Good Shepherd,USA,Rome,http://www.buonpastoreint.org/jp-en,,,,human rights organisation,,Gender Equality and Girls' and Women's Rights,No,International,41.872389,12.48018
142.163.218.14,Congregation of the Sisters of the Presentation - NL,Canada,"St. John's, NL",www.presentationsisters.ca,,,,,private sector,Religious Sisters,No,Local/National,47.560541,-52.712831
142.163.218.14,Congregation of the Sisters of the Presentation of Newfoundland and Labrador,Canada,"St. John's, NL",Www.presentationsisters.ca,,,,,,Religious Institute,No,Local/National,47.560541,-52.712831
95.253.40.234,Congregation Romaine de Saint Dominique,Italie,Rome,crsdop.org,,,,,,congregation religieuse,No,International,41.872389,12.48018
108.29.25.102,Congregations of Saint Joseph,Estados Unidos,"246 E 46 St. New York, NY 10017",,,development organisation,,human rights organisation,,,Yes,International,40.752411,-73.970825
41.137.57.146,CONSEIL DES MIGRANTS SUBSAHARIENS AU MAROC,ROYAUME DU MAROC,RABAT,,,,,human rights organisation,,,Yes,Regional,33.959472,-6.870032
197.229.242.48,Consortium for Refugees and Migrants in South Africa,South Africa,Johannesburg,www.cormsa.org.za,,,,human rights organisation,,,Yes,Local/National,-26.204103,28.047305
197.157.209.1,CONSTRUISONS ENSEMBLE LE MONDE,DEMOCRATIC REPUBLIC OF CONGO,KINSHASA-LINGWALA,www.ongcem.org( en construction),,,,human rights organisation,,,No,Local/National,-4.320278,15.298333
87.20.170.155,COOPERAZIONE INTERNAZIONALE SUD SUD,Italia,Palermo,www.cissong.org,,development organisation,,,,,No,International,38.115688,13.361267
109.1.184.62,Coordination SUD,France,Paris,www.coordinationsud.org,,development organisation,,,,,No,International,48.856614,2.352222
